Election,State,State FIPS Code,District,"Seat Status (1=D Incumbent, 2=R Incumbent, 3=D Open, 4=R Open",Democrat Name,Democrat Vote,Republican Name,Republican Vote,Other Name,Other Vote,Other name 2,Other vote,Party Winner
H,NC,37,02,1,Bob Ethridge,66.9%,Dan Mansell ,31.3%,NA,0.0%,NA,0.0%,1
H,NC,37,03,2,Craig Peter Weber ,34.1%,Walter Jones,65.9%,NA,0.0%,NA,0.0%,2
H,NC,37,04,1,David E. Price ,63.3%,B.J. Lawson,36.7%,NA,0.0%,NA,0.0%,1
H,NC,37,05,2,Roy Carter ,41.6%,Virginia Foxx ,58.4%,NA,0.0%,NA,0.0%,2
H,NC,37,06,2,Teresa Sue Bratton,33.0%,Howard Coble ,67.0%,NA,0.0%,NA,0.0%,2
H,NC,37,07,1,Mike McIntyre,68.9%,Will Brezeale,31.2%,NA,0.0%,NA,0.0%,1
H,NC,37,08,2,Larry Kissell ,55.4%,Robin Hayes ,44.6%,NA,0.0%,NA,0.0%,1
H,NC,37,09,2,Harry Taylor ,35.9%,Sue Myrick ,62.4%,NA,0.0%,NA,0.0%,2
H,NC,37,10,2,Daniel Johnson ,42.5%,Patrick McHenry,57.6%,NA,0.0%,NA,0.0%,2
H,NC,37,11,1,Heath Shuler,62.0%,Carl Mumpower,35.8%,NA,0.0%,NA,0.0%,1
H,NC,37,12,1,Mel Watt ,71.6%,"Ty Cobb, Jr.",28.4%,NA,0.0%,NA,0.0%,1
H,NC,37,13,1,"Ralph ""Brad"" Miller",65.9%,Hugh Webster,34.1%,NA,0.0%,NA,0.0%,1
S,NC,37,NA,2,Kay Hagan,52.7%,Elizabeth Dole,44.2%,Chris Cole,3.1%,NA,0.0%,1
G,ND,38,NA,2,Tim Mathern,23.5%,John Hoeven,74.4%,NA,0.0%,NA,0.0%,2
H,ND,38,0,2,Earl Ralph Pomeroy,62.1%,Duane Sand,37.9%,NA,0.0%,NA,0.0%,1
H,OH,39,01,2,Steve Driehaus,51.5%,Steve Chabot,48.5%,NA,0.0%,NA,0.0%,1
H,OH,39,02,2,Victoria Wells Wulsin,37.5%,Jean Schmidt,44.8%,David Henry Krikorian,17.7%,NA,0.0%,2
H,OH,39,03,2,Jane Mitakides ,36.1%,Mike Turner ,63.9%,NA,0.0%,NA,0.0%,2
H,OH,39,04,2,Mike Carroll,34.9%,Jim Jordan,65.1%,NA,0.0%,NA,0.0%,2
H,OH,39,05,2,George F. Mays,35.7%,Bob Latta ,64.3%,NA,0.0%,NA,0.0%,2
H,OH,39,06,1,Charlie Wilson ,62.3%,Dick Stobbs,32.8%,NA,0.0%,NA,0.0%,1
H,OH,39,07,4,Sharen Neuhardt,41.3%,Steve Austria,58.7%,NA,0.0%,NA,0.0%,2
H,OH,39,08,2,Nicholas A. von Stein,31.9%,John Boehner,68.1%,NA,0.0%,NA,0.0%,2
H,OH,39,09,1,Marcy Kaptur ,74.1%,Bradley S. Leavitt,25.9%,NA,0.0%,NA,0.0%,1
H,OH,39,10,1,Dennis J. Kucinich,56.8%,Jim Trakas,39.4%,NA,0.0%,NA,0.0%,1
H,OH,39,11,3,Marcia L. Fudge ,85.1%,Thomas Pekarek ,14.9%,NA,0.0%,NA,0.0%,1
H,OH,39,12,2,David W. Robinson,42.2%,Pat Tiberi,54.8%,NA,0.0%,NA,0.0%,2
H,OH,39,13,1,Betty Sue Sutton,64.4%,David Potter,35.5%,NA,0.0%,NA,0.0%,1
H,OH,39,14,2,Bill O'Neill,38.7%,Steve LaTourette ,58.4%,NA,0.0%,NA,0.0%,2
H,OH,39,15,4,Mary Jo Kilroy,45.9%,Steve Stivers,45.2%,Don Eckhart,4.3%,NA,0.0%,1
H,OH,39,16,4,John A. Boccieri,55.3%,J. Kirk Schuring,44.7%,NA,0.0%,NA,0.0%,1
H,OH,39,17,1,Tim Ryan,78.1%,Duane Virgil Grassell,21.9%,NA,0.0%,NA,0.0%,1
H,OH,39,18,1,Zack Space,59.8%,Fred L. Dailey,40.2%,NA,0.0%,NA,0.0%,1
H,OK,40,01,2,Georgianna W. Oliver,33.8%,John Sullivan,66.2%,NA,0.0%,NA,0.0%,2
H,OK,40,02,1,Dan Boren,70.5%,Raymond Wickson,29.5%,NA,0.0%,NA,0.0%,1
H,OK,40,03,2,Frankie Lee Robbins,23.6%,Frank Lucas ,69.7%,NA,0.0%,NA,0.0%,2
H,OK,40,04,2,Blake Cumming,29.2%,Tom Cole,66.0%,NA,0.0%,NA,0.0%,2
H,OK,40,05,2,Steven L. Perry,34.1%,Mary C. Fallin,65.9%,NA,0.0%,NA,0.0%,2
S,OK,40,NA,2,Andrew Rice,39.2%,James Inhofe,56.7%,Stephen Wallace,4.1%,NA,0.0%,2
H,OR,41,01,1,David Wu ,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,OR,41,02,2,Noah I. Lemas,25.8%,Greg Walden,69.7%,NA,0.0%,NA,0.0%,2
H,OR,41,03,1,Earl Blumenauer,75.0%,Delia Lopez,20.7%,NA,0.0%,NA,0.0%,1
H,OR,41,04,1,"Peter ""Pete"" DeFazio",Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,OR,41,05,3,Kurt Schrader,54.7%,Mike Erickson,38.4%,NA,0.0%,NA,0.0%,1
S,OR,41,NA,2,Jeff Merkeley,48.9%,Gordon Smith,45.6%,Dave Brownlow,5.2%,NA,0.0%,1
H,PA,42,01,1,Robert A. Brady,90.8%,Mike Muhammad,9.2%,NA,0.0%,NA,0.0%,1
H,PA,42,02,1,Chaka Fattah,80.9%,Adam Lang,19.1%,NA,0.0%,NA,0.0%,1
H,PA,42,03,2,Kathy Dahlkemper,51.5%,Phil English,48.5%,NA,0.0%,NA,0.0%,1
H,PA,42,04,1,Jason Altimire,56.0%,Melissa A. Hart,44.0%,NA,0.0%,NA,0.0%,1
H,PA,42,05,4,Mark B. McCracken,41.0%,Glenn W. Thompson,56.8%,NA,0.0%,NA,0.0%,2
H,PA,42,06,2,Robert Roggio,47.9%,Jim Gerlach,52.1%,NA,0.0%,NA,0.0%,2
H,PA,42,07,1,Joe Sestak,59.6%,W. Craig Williams,40.4%,NA,0.0%,NA,0.0%,1
H,PA,42,08,1,Patrick J. Murphy,56.8%,Tom Manion,41.7%,NA,0.0%,NA,0.0%,1
H,PA,42,09,2,Tony Barr,36.1%,Bill Shuster,63.9%,NA,0.0%,NA,0.0%,2
H,PA,42,10,1,Chris Carney,56.4%,Chris Hackett,43.6%,NA,0.0%,NA,0.0%,1
H,PA,42,11,1,Paul E. Kanjorski,51.7%,Lou Barletta,48.4%,NA,0.0%,NA,0.0%,1
H,PA,42,12,1,John P. Murtha,58.1%,William Russell,41.9%,NA,0.0%,NA,0.0%,1
H,PA,42,13,1,Allyson Y. Schwartz,62.8%,Marina Kats,34.5%,NA,0.0%,NA,0.0%,1
H,PA,42,14,1,Mike Doyle,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,PA,42,15,2,Sam Bennett,41.4%,Charlie Dent,58.6%,NA,0.0%,NA,0.0%,2
H,PA,42,16,2,Bruce A. Slater,39.3%,Joseph Pitts,55.9%,NA,0.0%,NA,0.0%,2
H,PA,42,17,1,Tim Holden,63.8%,Toni Gilhooley,36.2%,NA,0.0%,NA,0.0%,1
H,PA,42,18,2,Steve O'Donnell ,36.0%,Tim Murphy ,65.0%,NA,0.0%,NA,0.0%,2
H,PA,42,19,2,Phil Avillo,33.4%,Todd R. Platts,66.6%,NA,0.0%,NA,0.0%,2
H,RI,44,01,1,Patrick J. Kennedy,68.6%,Jon Scott,24.2%,NA,0.0%,NA,0.0%,1
H,RI,44,02,1,James R. Langevin,70.0%,Mark Zaccaria,30.0%,NA,0.0%,NA,0.0%,1
S,RI,44,NA,1,Jack Reed,73.3%,Robert Tingle,26.7%,NA,0.0%,NA,0.0%,1
H,SC,45,01,2,Linda Ketner,47.9%,Henry Brown,51.9%,NA,0.0%,NA,0.0%,2
H,SC,45,02,2,Rob Miller,46.2%,Joe Wilson ,53.7%,NA,0.0%,NA,0.0%,2
H,SC,45,03,2,Jane Ballard Dyer ,35.2%,Gresham Barrett,64.7%,NA,0.0%,NA,0.0%,2
H,SC,45,04,2,Paul Corden,36.9%,Bob Inglis,60.1%,NA,0.0%,NA,0.0%,2
H,SC,45,05,1,John Spratt,61.6%,Albert Spencer,37.0%,NA,0.0%,NA,0.0%,1
H,SC,45,06,1,"James E. ""Jim"" Clyburn",67.5%,Nancy Harrelson,32.5%,NA,0.0%,NA,0.0%,1
S,SC,45,NA,2,Bob Conley,42.3%,Lindsey Graham,57.5%,NA,0.0%,NA,0.0%,2
H,SD,46,0,1,Stephanie Herseth Sandlin,67.6%,"Christian ""Chris"" Lien",32.4%,NA,0.0%,NA,0.0%,1
S,SD,46,NA,1,Tim Johnson,62.5%,Joel Dykstra,37.5%,NA,0.0%,NA,0.0%,1
H,TN,47,01,4,Rob Russell,24.6%,David Roe,71.8%,NA,0.0%,NA,0.0%,2
H,TN,47,02,2,Bob Scott,21.8%,John Duncan,78.2%,NA,0.0%,NA,0.0%,2
H,TN,47,03,2,Doug Vandagriff ,27.4%,Zach Wamp,69.4%,NA,0.0%,NA,0.0%,2
H,TN,47,04,1,Lincoln Edward Davis,58.8%,Monty Joe Lankford,37.8%,NA,0.0%,NA,0.0%,1
H,TN,47,05,1,Jim Cooper,65.9%,John Donovan,31.0%,NA,0.0%,NA,0.0%,1
H,TN,47,06,1,Bart Gordon,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,TN,47,07,2,Randy Gene Morris,31.4%,Marsha Blackburn,68.6%,NA,0.0%,NA,0.0%,2
H,TN,47,08,1,John S. Tanner ,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,TN,47,09,1,Steve Cohen,87.9%,NA,0.0%,Jake Ford,4.9%,NA,0.0%,1
S,TN,47,NA,2,Bob Tuke,31.6%,Lamar Alexander,65.2%,NA,0.0%,NA,0.0%,2
H,TX,48,01,2,NA,0.0%,Louie Gohmert,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,02,2,NA,0.0%,Ted Poe,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,03,2,Tom Daley,38.0%,Sam Johnson,59.8%,NA,0.0%,NA,0.0%,2
H,TX,48,04,2,Glenn Melancon,29.3%,Ralph M. Hall,68.8%,NA,0.0%,NA,0.0%,2
H,TX,48,05,2,NA,0.0%,Jeb Hensarling,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,06,2,Ludwig Otto,35.6%,Joe Barton,62.0%,NA,0.0%,NA,0.0%,2
H,TX,48,07,2,Michael Skelly,42.4%,John Culberson,55.9%,NA,0.0%,NA,0.0%,2
H,TX,48,08,2,Kent Hargett,24.8%,Kevin Brady,72.6%,NA,0.0%,NA,0.0%,2
H,TX,48,09,1,Al Green,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,TX,48,10,2,Larry Joe Doherty,43.1%,Michael T. McCaul,53.9%,NA,0.0%,NA,0.0%,2
H,TX,48,11,2,NA,0.0%,Mike Conaway,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,12,2,Tracey Smith,30.6%,Kay Granger,67.6%,NA,0.0%,NA,0.0%,2
H,TX,48,13,2,Roger James Waun,22.4%,Mac Thornberry,77.6%,NA,0.0%,NA,0.0%,2
H,TX,48,14,2,NA,0.0%,Ron Paul,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,15,1,Ruben Hinojosa,65.7%,Eddie Zamora,32.0%,NA,0.0%,NA,0.0%,1
H,TX,48,16,1,Silvestre Reyes,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,TX,48,17,1,Chet Edwards,53.0%,Rob Curnock,45.5%,NA,0.0%,NA,0.0%,1
H,TX,48,18,1,Sheila Jackson Lee,77.3%,John M. Faulk,20.4%,NA,0.0%,NA,0.0%,1
H,TX,48,19,2,Dwight Fullingim,24.9%,Randy Neugebauer,72.5%,NA,0.0%,NA,0.0%,2
H,TX,48,20,1,Charles A. Gonzales,71.9%,Robert Litoff,25.2%,NA,0.0%,NA,0.0%,1
H,TX,48,21,2,NA,0.0%,Lamar Smith,Uncontested,NA,0.0%,NA,0.0%,2
H,TX,48,22,1,Nick Lampson,45.4%,Pete Olson ,52.4%,NA,0.0%,NA,0.0%,2
H,TX,48,23,1,Ciro D. Rodriguez,55.8%,Lyle T. Larson,41.9%,NA,0.0%,NA,0.0%,1
H,TX,48,24,2,Tom Love,41.4%,Kenny E. Marchant,55.9%,NA,0.0%,NA,0.0%,2
H,TX,48,25,1,Lloyd Doggett,65.8%,George L. Morovich,30.5%,NA,0.0%,NA,0.0%,1
H,TX,48,26,2,Ken Leach,36.4%,Michael C. Burgess,60.2%,NA,0.0%,NA,0.0%,2
H,TX,48,27,1,Solomon P. Ortiz,57.9%,William Vaden,38.4%,NA,0.0%,NA,0.0%,1
H,TX,48,28,1,Henry Cuellar,68.7%,Jim Fish,29.2%,NA,0.0%,NA,0.0%,1
H,TX,48,29,1,Gene Green,74.7%,Eric Story,23.9%,NA,0.0%,NA,0.0%,1
H,TX,48,30,1,Eddie Bernice Johnson,82.6%,Fred Wood,15.8%,NA,0.0%,NA,0.0%,1
H,TX,48,31,2,Brian P. Ruiz,36.5%,John Carter,60.3%,NA,0.0%,NA,0.0%,2
H,TX,48,32,2,Eric Nelson Roberson,40.6%,Pete Sessions,57.2%,NA,0.0%,NA,0.0%,2
S,TX,48,NA,2,Rick Noriega,42.9%,John Cornyn,54.8%,NA,0.0%,NA,0.0%,2
G,UT,49,NA,2,Bob Springmeyer,19.7%,Jon Huntsman,77.7%,NA,0.0%,NA,0.0%,2
H,UT,49,01,2,Morgan Emory Bowen,30.4%,Rob Bishop,65.0%,NA,0.0%,NA,0.0%,2
H,UT,49,02,1,"James ""Jim"" Matheson",63.3%,Bill Dew,34.6%,NA,0.0%,NA,0.0%,1
H,UT,49,03,4,Bennion Lloyd Spencer,28.1%,Jason Chaffetz,65.8%,NA,0.0%,NA,0.0%,2
G,VT,50,NA,2,Gaye Symington,19.4%,Jim Douglas,55.4%,Anthony Pollina,23.3%,NA,0.0%,2
H,VT,50,0,1,Peter F. Welch,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,VA,51,01,2,"William S. ""Bill"" Day, Jr.",41.8%,Rob Wittman,56.6%,NA,0.0%,NA,0.0%,2
H,VA,51,02,2,"Glenn Carlyle Nye, III ",52.4%,Thelma Drake ,47.5%,NA,0.0%,NA,0.0%,1
H,VA,51,03,1,Robert C. Scott,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,VA,51,04,2,Andrea Ruth Miller,40.3%,J. Randy Forbes ,59.6%,NA,0.0%,NA,0.0%,2
H,VA,51,05,2,Tom Perriello ,50.1%,"Virgil H. Goode, Jr. ",49.9%,NA,0.0%,NA,0.0%,1
H,VA,51,06,2,"Salam ""Sam"" Rasoul ",36.6%,Bob Goodlatte,61.6%,NA,0.0%,NA,0.0%,2
H,VA,51,07,2,Anita Ruth Hartke,37.1%,Eric Cantor ,62.7%,NA,0.0%,NA,0.0%,2
H,VA,51,08,1,James P. Moran ,67.9%,Mark Ellmore,29.7%,NA,0.0%,NA,0.0%,1
H,VA,51,09,1,Rick Boucher,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,VA,51,10,2,"Judith M. ""Judy"" Feder",38.8%,Frank R. Wolf,58.8%,NA,0.0%,NA,0.0%,2
H,VA,51,11,4,"Gerald ""Gerry"" Connolly",54.7%,Keith Fimian,43.1%,NA,0.0%,NA,0.0%,1
S,VA,51,NA,4,Mark Warner,65.0%,Jim Gilmore,33.7%,NA,0.0%,NA,0.0%,1
G,WA,53,NA,1,Christine Gregoire,53.2%,Dino Rossi,46.8%,NA,0.0%,NA,0.0%,1
H,WA,53,01,1,Jay Inslee,68.0%,Larry Ishmael,32.0%,NA,0.0%,NA,0.0%,1
H,WA,53,02,1,Rick Larsen,62.4%,Rick Bart,37.6%,NA,0.0%,NA,0.0%,1
H,WA,53,03,1,Brian Baird ,64.0%,Michael Delavar,36.0%,NA,0.0%,NA,0.0%,1
H,WA,53,04,2,George Fearing ,37.0%,Doc Hastings ,63.0%,NA,0.0%,NA,0.0%,2
H,WA,53,05,2,Mark Mays ,35.0%,Cathy Ann McMorris Rodgers,65.0%,NA,0.0%,NA,0.0%,2
H,WA,53,06,1,Norm Dicks,66.7%,Doug Cloud,33.3%,NA,0.0%,NA,0.0%,1
H,WA,53,07,1,Jim McDermott ,83.8%,Steve Beren,16.2%,NA,0.0%,NA,0.0%,1
H,WA,53,08,2,Darcy Burner ,47.8%,Dave Reichert,52.2%,NA,0.0%,NA,0.0%,2
H,WA,53,09,1,Adam Smith,65.7%,James Lee Postma,34.3%,NA,0.0%,NA,0.0%,1
G,WV,54,NA,1,Joe Manchin III,69.8%,Russ Weeks,25.7%,NA,0.0%,NA,0.0%,1
H,WV,54,01,1,Alan Mollohan,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,WV,54,02,2,Anne Barth ,42.9%,Shelley Capito,57.1%,NA,0.0%,NA,0.0%,2
H,WV,54,03,1,Nick Rahall ,66.9%,Marty Gearheart,33.1%,NA,0.0%,NA,0.0%,1
S,WV,54,NA,1,Jay Rockefeller,63.7%,Jay Wolfe,36.3%,NA,0.0%,NA,0.0%,1
H,WI,55,01,2,Marge Krupp,34.7%,Paul D. Ryan,64.0%,NA,0.0%,NA,0.0%,2
H,WI,55,02,1,Tammy Baldwin,69.4%,Peter Theron,30.6%,NA,0.0%,NA,0.0%,1
H,WI,55,03,1,Ron Kind,63.2%,Paul Stark ,34.5%,NA,0.0%,NA,0.0%,1
H,WI,55,04,1,Gwen Moore,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,WI,55,05,2,NA,0.0%,Jim Sensenbrenner ,Uncontested,NA,0.0%,NA,0.0%,2
H,WI,55,06,,Roger A. Kittelson,36.2%,Tom Petri,63.8%,NA,0.0%,NA,0.0%,2
H,WI,55,07,1,David R. Obey,60.8%,Dan Mielke,39.2%,NA,0.0%,NA,0.0%,1
H,WI,55,08,,Steve Kagen,54.0%,John G. Gard,46.0%,NA,0.0%,NA,0.0%,1
H,WY,56,0,,Gary S. Trauner,40.8%,Cynthia Marie Lummis ,52.7%,"Walter David ""David"" Herbert",4.4%,NA,0.0%,2
S,WY,56,NA,2,Chris Rothfuss,24.2%,Mike Enzi,75.8%,NA,0.0%,NA,0.0%,2
S,WY,56,NA,2,Nick Carter,26.6%,John Barrasso,73.4%,NA,0.0%,NA,0.0%,2









,,,,,,,,,,,,,,



,,,,,,,,,,,,,,








,,,,,,,,,,,,,,
